Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
105,tt0438488,2024-06-16,2024-06-16,,"Terminatör 4: Kurtuluş","Terminator Salvation",https://www.imdb.com/title/tt0438488/,Movie,6.5,115,2009,"Action, Adventure, Sci-Fi",378565,2009-06-05,"McG",,
106,tt1340138,2024-06-16,2024-06-16,,"Terminatör Genisys","Terminator Genisys",https://www.imdb.com/title/tt1340138/,Movie,6.3,126,2015,"Action, Adventure, Sci-Fi, Thriller",293496,2015-06-26,"Alan Taylor",,
107,tt6450804,2024-06-16,2024-06-16,,"Terminatör 6: Kara Kader","Terminator: Dark Fate",https://www.imdb.com/title/tt6450804/,Movie,6.2,128,2019,"Action, Adventure, Sci-Fi",194254,2019-11-01,"Tim Miller",,
108,tt27534073,2024-06-16,2024-06-16,,"Terminator: Skynet Rising","Terminator: Skynet Rising",https://www.imdb.com/title/tt27534073/,Movie,,,2024,"Action, Horror, Sci-Fi",0,2024-11-13,"Rui Constantino",,
109,tt0106226,2024-06-16,2024-06-16,,"Masumiyet Yaşı","The Age of Innocence",https://www.imdb.com/title/tt0106226/,Movie,7.2,139,1993,"Drama, Romance",68136,1994-02-18,"Martin Scorsese",,
110,tt0050212,2024-06-16,2024-06-16,,"Kwai Köprüsü","The Bridge on the River Kwai",https://www.imdb.com/title/tt0050212/,Movie,8.1,161,1957,"Adventure, Drama, War",234273,1962-03-12,"David Lean",,
111,tt0080678,2024-06-16,2024-06-16,,"Fil Adam","The Elephant Man",https://www.imdb.com/title/tt0080678/,Movie,8.2,124,1980,"Biography, Drama",259445,1981-12-28,"David Lynch",,
112,tt10272386,2024-06-16,2024-06-16,,"Baba","The Father",https://www.imdb.com/title/tt10272386/,Movie,8.2,97,2020,"Drama, Mystery",195369,2021-09-17,"Florian Zeller",,
113,tt0119174,2024-06-16,2024-06-16,,"Oyun","The Game",https://www.imdb.com/title/tt0119174/,Movie,7.7,129,1997,"Drama, Mystery, Thriller",432052,1998-02-06,"David Fincher",,
114,tt10208198,2024-06-16,2024-06-16,,"The Gangster, the Cop and the Devil","Akinjeon",https://www.imdb.com/title/tt10208198/,Movie,6.9,109,2019,"Action, Crime, Thriller",23721,2019-05-15,"Lee Won-tae",,
115,tt5177088,2024-06-16,2024-06-16,,"Örümcek Ağındaki Kız","The Girl in the Spider's Web",https://www.imdb.com/title/tt5177088/,Movie,6.1,115,2018,"Action, Adventure, Crime, Drama, Mystery, Thriller",52097,2018-11-30,"Fede Alvarez",,
116,tt0032553,2024-06-16,2024-06-16,,"Şarlo Diktatör","The Great Dictator",https://www.imdb.com/title/tt0032553/,Movie,8.4,125,1940,"Comedy, Drama, War",238323,1949-03,"Charles Chaplin",,
117,tt4016934,2024-06-16,2024-06-16,,"Hizmetçi","Ah-ga-ssi",https://www.imdb.com/title/tt4016934/,Movie,8.1,145,2016,"Drama, Romance, Thriller",174633,2017-08-11,"Park Chan-wook",,
118,tt2106476,2024-06-16,2024-06-16,,"Onur Savaşı","Jagten",https://www.imdb.com/title/tt2106476/,Movie,8.3,115,2012,"Drama",366770,2013-10-18,"Thomas Vinterberg",,
119,tt4028464,2024-06-16,2024-06-16,,"Masumlar","De uskyldige",https://www.imdb.com/title/tt4028464/,Movie,7.0,117,2021,"Drama, Fantasy, Horror, Mystery, Thriller",25249,2022-06-10,"Eskil Vogt",,
